STT,Công việc cụ thể,Đóng góp ghi trong bảng,Link Google Drive,Hoàn thành,
1,Chốt công trình sẽ làm,"Quản lý nhóm, tích hợp hệ thống, nghiệm thu và hoàn thiện sản phẩm cuối.",,FALSE,
2,"Thống nhất chuẩn dữ liệu: tên field, format GeoJSON/JSON, quy tắc đặt file",,[URL],FALSE,
3,"Tạo repo GitHub, chia branch, quản lý tiến độ",,[URL],FALSE,
4,Tích hợp toàn bộ sản phẩm cuối,,[URL],FALSE,
5,"Viết phần mô tả tổng quan sản phẩm, phân công, kết quả đạt được",,[URL],FALSE,
6,Liên hệ giảng viên nếu cần duyệt đề tài / phạm vi,,[URL],FALSE,
,,,,,
STT,Công việc cụ thể,Đóng góp ghi trong bảng,Link Google Drive,Hoàn thành,
1,"Tìm ảnh mặt trước, mặt bên, mặt sau, mái, cửa sổ, ban công, chi tiết kiến trúc","thu thập dữ liệu ảnh, chuẩn hóa nguồn tư liệu, hỗ trợ mô tả thuộc tính công trình.",Vy_du_lieu_nha_hat_thanh_pho,TRUE,
2,Tổng hợp kích thước tham chiếu tương đối,,,TRUE,
3,Lập folder dữ liệu nguồn,,,TRUE,
4,Ghi chú nguồn ảnh/tài liệu để sau này đưa vào tham khảo,,,TRUE,
,,,,,
STT,Công việc cụ thể,Đóng góp ghi trong bảng,Link Google Drive,Hoàn thành,
1,Số hóa footprint công trình,"xây dựng và làm sạch dữ liệu GeoJSON/JSON, chuẩn hóa hình học đầu vào.",NhaHatThanhPho.geojson,TRUE,
2,Tạo GeoJSON/JSON ban đầu,,[URL],TRUE,
3,"Kiểm tra tọa độ, polygon, thuộc tính",,[URL],TRUE,
4,"Chuẩn hóa các lớp dữ liệu: khối chính, mái, phần nhô, phần phụ",,[URL],TRUE,
5,Bàn giao dữ liệu sạch cho người dựng 3D,,[URL],TRUE,
,,,,,
STT,Công việc cụ thể,Đóng góp ghi trong bảng,Link Google Drive,Hoàn thành,Cột 6
1,Dựng khối chính từ footprint,"Dựng mô hình 3D khối chính, xử lý chiều cao và cấu trúc không gian công trình.",Thắng,TRUE,
2,"Xử lý extrusion, chiều cao, phân tầng",,,TRUE,
3,Tạo phần hình học LoD 3 cho khối thân,,,TRUE,
4,Phối hợp với Thoáng để sửa lỗi polygon nếu dựng bị lỗi,,,FALSE,
,,,,,
STT,Công việc cụ thể,Đóng góp ghi trong bảng,Link Google Drive,Hoàn thành,
1,"dựng mái, cửa sổ, cửa ra vào, ban công, gờ nổi, khối phụ","bổ sung chi tiết LoD 3, hoàn thiện hình học kiến trúc của mô hình.",Thịnh,TRUE,
2,đảm bảo nhìn vào là ra LoD 3 chứ không chỉ extrusion đơn giản,,[URL],TRUE,
3,tối ưu số lượng chi tiết để vẫn render mượt,,[URL],TRUE,
,,,,,
STT,Công việc cụ thể,Đóng góp ghi trong bảng,Link Google Drive,Hoàn thành,
1,dựng SceneView 3D,"phát triển giao diện 3D ArcGIS JS, hiển thị dữ liệu và tương tác người dùng.",[URL],TRUE,
2,load GeoJSON/JSON lên ArcGIS JS,,[URL],TRUE,
3,"cấu hình renderer, popup, label, legend nếu cần",,[URL],TRUE,
4,"thêm điều khiển zoom, xoay, chọn đối tượng",,[URL],TRUE,
5,tối ưu giao diện demo,,[URL],TRUE,
,,,,,
STT,Công việc cụ thể,Đóng góp ghi trong bảng,Link Google Drive,Hoàn thành,
1,test hiển thị trên máy khác,"kiểm thử hệ thống, tài liệu hóa, chuẩn bị sản phẩm nộp và demo.",[URL],TRUE,
2,"kiểm tra lỗi file, lỗi link, lỗi popup, lỗi layer",,[URL],TRUE,
3,"chụp ảnh kết quả, quay demo ngắn nếu cần",,[URL],TRUE,
4,viết hướng dẫn chạy project,,[URL],TRUE,
5,"đóng gói file nộp: html, data, README, file txt link repo",,https://github.com/thanhdatnguyentk/Lab02-GIS,TRUE,
,,,,,
,,,,,
t5 - 23/04/2026,,,,,